Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,W,1-0,@,Tennessee Titans,38,13,22,416,280,136,1,17,248,162,86,3,8.83,14.48,1.57
2,September 19,W,2-0,,Minnesota Vikings,34,33,21,474,371,103,2,22,419,242,177,,11.99,-12.56,0.90
3,September 26,W,3-0,@,Jacksonville Jaguars,31,19,23,407,316,91,1,20,361,202,159,4,13.26,7.87,-9.13
4,October 3,W,4-0,@,Los Angeles Rams,37,20,27,465,249,216,,24,401,280,121,2,21.72,-8.94,2.64
5,October 10,W,5-0,,San Francisco 49ers,17,10,20,304,210,94,1,19,338,186,152,1,1.74,6.53,0.47
6,October 17,W,6-0,@,Cleveland Browns,37,14,24,352,208,144,,16,290,217,73,3,16.91,10.01,-1.93
7,October 24,W,7-0,,Houston Texans,31,5,24,397,225,172,1,8,160,118,42,1,13.37,23.71,-10.47
8,October 28,L,7-1,,Green Bay Packers,21,24,22,334,260,74,3,24,335,184,151,,9.86,-7.88,-6.65
9,November 7,W,8-1,@,San Francisco 49ers,31,17,22,437,274,163,,22,337,298,39,3,17.45,-2.10,-2.39
10,November 14,L,8-2,,Carolina Panthers,10,34,11,169,104,65,2,24,341,175,166,2,-19.35,-2.27,-1.02
11,November 21,W,9-2,@,Seattle Seahawks,23,13,29,413,318,95,,16,266,180,86,,17.70,1.84,-8.60
13,December 5,W,10-2,@,Chicago Bears,33,22,14,257,120,137,,26,329,217,112,4,6.68,6.69,-3.93
14,December 13,L,10-3,,Los Angeles Rams,23,30,22,447,344,103,2,18,356,267,89,,0.66,-13.49,3.55
15,December 19,L,10-4,@,Detroit Lions,12,30,23,398,293,105,1,22,338,212,126,1,-3.11,-9.87,-1.31
16,December 25,L,10-5,,Indianapolis Colts,16,22,20,378,245,133,,20,346,220,126,,6.97,-2.37,-6.29
17,January 2,W,11-5,@,Dallas Cowboys,25,22,23,399,272,127,,19,301,256,45,1,12.86,-6.87,-1.06
18,January 9,,,,Seattle Seahawks,,,,,,,,,,,,,,,
