Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,W,1-0,,Chicago Bears,34,14,18,386,312,74,,24,322,188,134,2,21.58,0.85,-0.52
2,September 19,W,2-0,@,Indianapolis Colts,27,24,21,371,270,101,2,22,354,245,109,2,7.11,-1.29,-3.09
3,September 26,W,3-0,,Tampa Bay Buccaneers,34,24,22,407,331,76,,27,446,411,35,,20.56,-15.15,3.43
4,October 3,L,3-1,,Arizona Cardinals,20,37,24,401,280,121,2,27,465,249,216,,8.94,-21.72,-2.64
5,October 7,W,4-1,@,Seattle Seahawks,26,17,24,476,358,118,1,22,354,262,92,2,13.76,-6.71,-0.05
6,October 17,W,5-1,@,New York Giants,38,11,22,365,234,131,2,21,261,201,60,4,7.63,19.06,-0.96
7,October 24,W,6-1,,Detroit Lions,28,19,22,374,327,47,,19,415,278,137,2,20.08,-3.32,-6.99
8,October 31,W,7-1,@,Houston Texans,38,22,26,467,302,165,,18,323,279,44,1,22.20,-1.75,-8.01
9,November 7,L,7-2,,Tennessee Titans,16,28,22,347,253,94,2,16,194,125,69,1,-11.78,-1.15,-0.53
10,November 15,L,7-3,@,San Francisco 49ers,10,31,16,278,226,52,2,20,335,179,156,,-7.18,-11.33,-0.70
12,November 28,L,7-4,@,Green Bay Packers,28,36,15,353,285,68,3,21,399,307,92,1,-5.92,-4.66,0.69
13,December 5,W,8-4,,Jacksonville Jaguars,37,7,24,418,290,128,,14,197,136,61,2,21.19,12.55,-3.25
14,December 13,W,9-4,@,Arizona Cardinals,30,23,18,356,267,89,,22,447,344,103,2,13.49,-0.66,-3.55
15,December 21,W,10-4,,Seattle Seahawks,20,10,20,332,209,123,1,13,214,134,80,1,4.19,8.13,-3.72
16,December 26,W,11-4,@,Minnesota Vikings,30,23,22,356,197,159,3,19,361,295,66,1,-0.84,1.81,7.80
17,January 2,W,12-4,@,Baltimore Ravens,20,19,20,373,300,73,3,19,327,162,165,2,2.98,-0.40,-2.65
18,January 9,,,,San Francisco 49ers,,,,,,,,,,,,,,,
