Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,W,1-0,,Minnesota Vikings,27,24,20,366,217,149,,24,403,336,67,1,6.16,-2.90,-1.79
2,September 19,L,1-1,@,Chicago Bears,17,20,14,248,179,69,4,16,206,83,123,1,-16.14,11.15,1.51
3,September 26,W,2-1,@,Pittsburgh Steelers,24,10,12,268,172,96,1,21,342,297,45,2,0.17,8.46,6.09
4,September 30,W,3-1,,Jacksonville Jaguars,24,21,21,420,342,78,,21,341,202,139,,20.93,-12.38,-6.50
5,October 10,L,3-2,,Green Bay Packers,22,25,18,367,264,103,2,21,466,333,133,1,3.92,-9.92,3.51
6,October 17,W,4-2,@,Detroit Lions,34,11,20,398,256,142,1,15,228,192,36,1,16.60,8.89,-0.46
7,October 24,W,5-2,@,Baltimore Ravens,41,17,19,520,409,111,1,20,393,278,115,,19.58,2.69,-2.13
8,October 31,L,5-3,@,New York Jets,31,34,18,318,277,41,1,32,511,414,97,3,3.26,-8.01,4.33
9,November 7,L,5-4,,Cleveland Browns,16,41,25,348,263,85,3,14,361,208,153,,-15.34,-14.44,4.50
11,November 21,W,6-4,@,Las Vegas Raiders,32,13,23,288,129,159,1,13,278,206,72,2,6.50,6.44,5.53
12,November 28,W,7-4,,Pittsburgh Steelers,41,10,25,370,172,198,1,16,301,250,51,3,14.42,15.89,-0.88
13,December 5,L,7-5,,Los Angeles Chargers,22,41,21,356,260,96,4,18,363,284,79,3,-12.31,-1.98,-1.02
14,December 12,L,7-6,,San Francisco 49ers,23,26,22,397,311,86,2,21,355,255,100,,11.63,-4.60,-10.68
15,December 19,W,8-6,@,Denver Broncos,15,10,12,249,136,113,,19,292,159,133,1,-4.53,7.29,5.22
16,December 26,W,9-6,,Baltimore Ravens,41,21,33,575,498,77,,21,334,295,39,1,35.73,-8.62,-4.84
17,January 2,W,10-6,,Kansas City Chiefs,34,31,23,475,415,60,,23,414,259,155,,28.52,-25.13,-1.86
18,January 9,,,@,Cleveland Browns,,,,,,,,,,,,,,,
