Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 9,L,0-1,@,Tampa Bay Buccaneers,29,31,30,451,391,60,1,24,431,379,52,4,13.67,-9.37,-7.76
2,September 19,W,1-1,@,Los Angeles Chargers,20,17,25,419,221,198,1,24,408,313,95,2,17.50,-5.55,1.81
3,September 27,W,2-1,,Philadelphia Eagles,41,21,27,380,220,160,1,12,367,303,64,2,9.13,11.19,-0.01
4,October 3,W,3-1,,Carolina Panthers,36,28,24,433,188,245,,24,379,266,113,2,19.39,-10.49,1.46
5,October 10,W,4-1,,New York Giants,44,20,26,515,314,201,2,20,367,294,73,2,20.79,2.65,2.08
6,October 17,W,5-1,@,New England Patriots,35,29,32,567,445,122,2,17,335,215,120,2,9.87,-0.65,-0.90
8,October 31,W,6-1,@,Minnesota Vikings,20,16,23,419,341,78,2,17,278,177,101,,6.74,2.03,-6.34
9,November 7,L,6-2,,Denver Broncos,16,30,14,290,212,78,2,23,407,217,190,,-5.92,-12.79,1.79
10,November 14,W,7-2,,Atlanta Falcons,43,3,22,431,317,114,1,11,214,111,103,3,16.18,22.40,1.92
11,November 21,L,7-3,@,Kansas City Chiefs,9,19,16,276,194,82,3,22,370,244,126,2,-15.89,2.37,5.44
12,November 25,L,7-4,,Las Vegas Raiders,33,36,23,437,373,64,,28,509,366,143,,9.66,-18.14,3.08
13,December 2,W,8-4,@,New Orleans Saints,27,17,17,377,231,146,1,17,405,252,153,4,-3.59,9.41,5.15
14,December 12,W,9-4,@,Washington Football Team,27,20,19,323,201,122,2,14,224,124,100,4,-12.16,25.49,-2.14
15,December 19,W,10-4,@,New York Giants,21,6,23,328,203,125,1,15,302,178,124,4,5.96,14.75,-7.36
16,December 26,W,11-4,,Washington Football Team,56,14,28,497,389,108,,14,257,172,85,2,31.30,10.62,0.47
17,January 2,L,11-5,,Arizona Cardinals,22,25,19,301,256,45,1,23,399,272,127,,6.87,-12.86,1.06
18,January 8,,,@,Philadelphia Eagles,,,,,,,,,,,,,,,
