Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,L,0-1,@,New Orleans Saints,3,38,14,229,186,43,3,22,322,151,171,,-14.83,-20.22,1.59
2,September 20,W,1-1,,Detroit Lions,35,17,25,323,227,96,,19,344,236,108,2,19.91,0.27,-3.69
3,September 26,W,2-1,@,San Francisco 49ers,30,28,21,353,253,100,,25,298,231,67,2,15.14,-12.19,-0.95
4,October 3,W,3-1,,Pittsburgh Steelers,27,17,23,367,236,131,1,17,282,220,62,2,7.14,5.05,-3.23
5,October 10,W,4-1,@,Cincinnati Bengals,25,22,21,466,333,133,1,18,367,264,103,2,9.92,-3.92,-3.51
6,October 17,W,5-1,@,Chicago Bears,24,14,22,323,169,154,,21,277,137,140,1,14.93,-4.93,0.30
7,October 24,W,6-1,,Washington Football Team,24,10,19,304,247,57,1,25,430,235,195,2,8.64,0.39,3.31
8,October 28,W,7-1,@,Arizona Cardinals,24,21,24,335,184,151,,22,334,260,74,3,7.88,-9.86,6.65
9,November 7,L,7-2,@,Kansas City Chiefs,7,13,19,301,179,122,2,14,237,160,77,,-0.97,6.84,-12.35
10,November 14,W,8-2,,Seattle Seahawks,17,0,22,393,287,106,1,15,208,133,75,2,8.95,11.44,-5.23
11,November 21,L,8-3,@,Minnesota Vikings,31,34,21,467,372,95,,25,408,318,90,,22.41,-25.39,1.57
12,November 28,W,9-3,,Los Angeles Rams,36,28,21,399,307,92,1,15,353,285,68,3,4.66,5.92,-0.69
14,December 12,W,10-3,,Chicago Bears,45,30,27,439,320,119,,16,347,210,137,3,23.05,5.60,-15.19
15,December 19,W,11-3,@,Baltimore Ravens,31,30,26,346,250,96,,24,354,211,143,,19.33,-13.55,-1.90
16,December 25,W,12-3,,Cleveland Browns,24,22,19,311,202,109,,28,408,189,219,4,10.56,-9.40,3.89
17,January 2,W,13-3,,Minnesota Vikings,37,10,29,481,307,174,,11,206,179,27,,21.96,13.56,-7.80
18,January 9,,,@,Detroit Lions,,,,,,,,,,,,,,,
