Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,W,1-0,,Cleveland Browns,33,29,21,397,324,73,,24,457,304,153,2,19.34,-20.54,-0.35
2,September 19,L,1-1,@,Baltimore Ravens,35,36,22,405,343,62,2,31,481,230,251,2,15.89,-16.88,1.01
3,September 26,L,1-2,,Los Angeles Chargers,24,30,33,437,251,186,4,21,352,275,77,,9.49,-16.65,3.01
4,October 3,W,2-2,@,Philadelphia Eagles,42,30,31,471,271,200,1,30,461,358,103,,34.67,-21.32,-0.70
5,October 10,L,2-3,,Buffalo Bills,20,38,29,392,272,120,4,20,436,315,121,,-1.20,-19.84,1.50
6,October 17,W,3-3,@,Washington Football Team,31,13,29,499,390,109,3,15,276,182,94,2,9.15,5.66,1.44
7,October 24,L,3-4,@,Tennessee Titans,3,27,22,334,257,77,3,24,369,266,103,1,-7.62,-15.54,-0.06
8,November 1,W,4-4,,New York Giants,20,17,29,368,261,107,2,18,300,228,72,1,2.01,2.30,2.73
9,November 7,W,5-4,,Green Bay Packers,13,7,14,237,160,77,,19,301,179,122,2,-6.84,0.97,12.35
10,November 14,W,6-4,@,Las Vegas Raiders,41,14,29,516,422,94,1,15,299,249,50,2,34.37,1.08,-7.21
11,November 21,W,7-4,,Dallas Cowboys,19,9,22,370,244,126,2,16,276,194,82,3,-2.37,15.89,-5.44
13,December 5,W,8-4,,Denver Broncos,22,9,15,267,178,89,1,22,404,250,154,3,-4.04,8.21,5.89
14,December 12,W,9-4,,Las Vegas Raiders,48,9,21,372,240,132,,19,290,246,44,5,25.70,9.74,1.07
15,December 16,W,10-4,@,Los Angeles Chargers,34,28,26,496,410,86,2,28,428,236,192,2,13.18,-6.23,-1.57
16,December 26,W,11-4,,Pittsburgh Steelers,36,10,25,381,254,127,,20,303,173,130,3,16.97,6.16,-2.77
17,January 2,L,11-5,@,Cincinnati Bengals,31,34,23,414,259,155,,23,475,415,60,,25.13,-28.52,1.86
18,January 8,,,@,Denver Broncos,,,,,,,,,,,,,,,
