Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 13,W,1-0,,Baltimore Ravens,33,27,26,491,409,82,1,20,406,217,189,2,11.58,-3.00,-2.58
2,September 19,W,2-0,@,Pittsburgh Steelers,26,17,22,425,373,52,,17,331,292,39,1,12.75,-1.19,-0.99
3,September 26,W,3-0,,Miami Dolphins,31,28,28,497,357,140,1,22,330,197,133,,7.21,-5.04,0.43
4,October 4,L,3-1,@,Los Angeles Chargers,14,28,13,213,165,48,1,25,380,212,168,,-7.95,-11.99,2.22
5,October 10,L,3-2,,Chicago Bears,9,20,16,259,188,71,1,19,252,109,143,,-7.14,-2.39,-2.05
6,October 17,W,4-2,@,Denver Broncos,34,24,16,426,340,86,,25,421,309,112,4,16.95,-2.97,-1.18
7,October 24,W,5-2,,Philadelphia Eagles,33,22,23,442,323,119,1,22,358,223,135,2,18.00,-4.67,1.38
9,November 7,L,5-3,@,New York Giants,16,23,24,403,286,117,3,16,247,98,149,1,-1.72,-0.51,-5.84
10,November 14,L,5-4,,Kansas City Chiefs,14,41,15,299,249,50,2,29,516,422,94,1,-1.08,-34.37,7.21
11,November 21,L,5-5,,Cincinnati Bengals,13,32,13,278,206,72,2,23,288,129,159,1,-6.44,-6.50,-5.53
12,November 25,W,6-5,@,Dallas Cowboys,36,33,28,509,366,143,,23,437,373,64,,18.14,-9.66,-3.08
13,December 5,L,6-6,,Washington Football Team,15,17,22,310,234,76,,23,298,186,112,1,6.39,-8.22,-0.07
14,December 12,L,6-7,@,Kansas City Chiefs,9,48,19,290,246,44,5,21,372,240,132,,-9.74,-25.70,-1.07
15,December 20,W,7-7,@,Cleveland Browns,16,14,20,328,230,98,2,13,236,147,89,,1.60,-1.13,0.20
16,December 26,W,8-7,,Denver Broncos,17,13,22,342,182,160,3,8,158,140,18,,-0.46,7.14,-2.09
17,January 2,W,9-7,@,Indianapolis Colts,23,20,18,326,241,85,2,16,262,140,122,,5.02,-4.03,3.28
18,January 9,,,,Los Angeles Chargers,,,,,,,,,,,,,,,
