,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Dallas Cowboys,16,479,6444,1092,5.9,20,9,368,422,619,4496,35,11,6.9,235,441,1948,13,4.4,102,122,1059,31,41.8,10.4,129.5
2,Tampa Bay Buccaneers,16,470,6492,1079,6,19,7,383,463,692,4905,40,12,6.9,258,365,1587,16,4.3,100,95,864,25,43.4,10.4,194.61
3,Buffalo Bills,16,456,6069,1064,5.7,22,6,373,390,609,4030,34,16,6.3,221,428,2039,19,4.8,127,109,940,25,45.9,12.2,142.89
4,Kansas City Chiefs,16,452,6356,1060,6,25,12,391,421,631,4536,35,13,6.9,248,402,1820,16,4.5,113,106,880,30,48.1,14.4,183.83
5,Cincinnati Bengals,16,444,5963,995,6,21,7,326,369,526,4300,35,14,7.5,204,418,1663,16,4,90,68,588,32,43.6,10.5,119.1
6,Los Angeles Chargers,16,442,6194,1040,6,20,6,374,409,610,4445,35,14,7,236,402,1749,17,4.4,107,106,925,31,45.7,12.2,148.75
7,Indianapolis Colts,16,440,5668,999,5.7,17,10,341,307,492,3222,26,7,6.2,159,481,2446,22,5.1,150,72,636,32,44.4,8.2,139.5
8,New England Patriots,16,438,5629,993,5.7,20,8,341,344,505,3612,23,12,6.8,179,462,2017,22,4.4,128,87,776,34,48.5,11.5,115.51
9,Los Angeles Rams,16,436,6060,994,6.1,21,5,336,385,575,4441,38,16,7.4,221,393,1619,10,4.1,95,73,622,20,46.5,11.8,137.99
10,Green Bay Packers,16,420,5837,1006,5.8,10,5,353,378,558,4059,36,5,6.9,220,419,1778,12,4.2,103,69,683,30,44.4,4.9,178.68
11,Arizona Cardinals,16,419,6047,1054,5.7,14,3,347,387,552,4089,26,11,7,204,468,1958,22,4.2,118,108,944,25,44.4,7.7,137.54
12,Philadelphia Eagles,16,418,5804,1005,5.8,15,6,330,287,460,3238,18,9,6.6,156,517,2566,24,5,154,104,812,20,42.9,9.2,113.15
13,San Francisco 49ers,16,400,5938,979,6.1,22,10,337,319,481,3907,24,12,7.6,184,468,2031,21,4.3,122,96,1010,31,40.9,11.1,120.08
14,Minnesota Vikings,16,394,5837,1036,5.6,13,6,321,384,582,4011,31,7,6.6,194,427,1826,10,4.3,100,107,996,27,39.5,7,64.87
15,Tennessee Titans,16,391,5417,1068,5.1,25,11,339,336,503,3137,18,14,5.7,178,519,2280,23,4.4,128,98,931,33,38.9,13.7,60.74
16,Baltimore Ravens,16,374,6059,1114,5.4,23,7,374,380,579,3829,21,16,6,204,481,2230,17,4.6,145,101,847,25,39.8,12.7,70.64
17,Seattle Seahawks,16,357,5075,897,5.7,11,5,283,309,469,3203,27,6,6.2,156,383,1872,16,4.9,97,93,773,30,33.5,6.3,88.73
18,Las Vegas Raiders,16,339,5838,1008,5.8,24,10,325,408,591,4395,21,14,7,207,380,1443,13,3.8,86,120,1066,32,39.4,13.7,63.11
19,New Orleans Saints,16,334,4808,980,4.9,18,5,285,277,480,3012,26,13,5.8,156,464,1796,12,3.9,103,94,771,26,32.4,9.2,-24.2
20,Cleveland Browns,16,328,5415,988,5.5,20,7,318,303,496,3149,19,13,5.8,169,444,2266,19,5.1,123,108,989,26,32.5,12,52.48
21,Pittsburgh Steelers,16,327,5047,1038,4.9,19,9,304,395,620,3543,22,10,5.4,190,381,1504,10,3.9,80,100,788,34,35.3,9.8,-5.66
22,Washington Football Team,16,313,5177,1012,5.1,24,9,329,347,532,3342,21,15,5.8,177,440,1835,12,4.2,117,79,714,35,34.3,14.2,15.57
23,Denver Broncos,16,311,5254,982,5.4,17,8,313,341,516,3420,20,9,6.2,170,427,1834,13,4.3,116,77,666,27,36.3,9.4,56.72
24,Miami Dolphins,16,308,4921,1031,4.8,26,12,302,389,593,3548,20,14,5.6,199,399,1373,11,3.4,75,100,792,28,29.4,13,-21.79
25,New York Jets,16,300,5155,990,5.2,27,7,306,350,583,3536,19,20,5.6,192,363,1619,14,4.5,86,99,833,28,30.5,15.5,-9.64
26,Chicago Bears,16,294,4869,995,4.9,27,9,309,299,494,2941,15,18,5.4,163,450,1928,14,4.3,114,104,904,32,31.1,15,-28.67
27,Atlanta Falcons,16,293,4907,958,5.1,23,9,293,357,540,3518,19,14,6.1,187,381,1389,10,3.6,72,87,707,34,32.3,13.8,-11.5
28,Detroit Lions,16,288,5080,997,5.1,23,9,310,374,561,3293,20,14,5.5,181,401,1787,11,4.5,97,103,809,32,32.3,13.8,-9.87
29,Carolina Panthers,16,287,4764,1035,4.6,27,7,304,319,556,3032,12,20,5,164,429,1732,17,4,112,106,854,28,29.5,14.8,-81.37
30,Houston Texans,16,255,4374,954,4.6,22,7,248,331,513,3016,18,15,5.4,151,399,1358,8,3.4,70,110,913,27,25.8,11.8,-87.37
31,New York Giants,16,251,4707,991,4.7,27,9,289,336,562,3113,14,18,5.2,167,394,1594,8,4,86,85,653,36,28.7,15.2,-79.15
32,Jacksonville Jaguars,16,227,4873,964,5.1,29,12,285,338,572,3219,10,17,5.3,167,361,1654,13,4.6,86,98,807,32,24.4,16.7,-50.2
