Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,W,1-0,@,Atlanta Falcons,32,6,24,434,261,173,,19,260,136,124,,13.14,12.48,-2.36
2,September 19,L,1-1,,San Francisco 49ers,11,17,18,328,177,151,,23,306,189,117,,5.30,-7.86,-2.68
3,September 27,L,1-2,@,Dallas Cowboys,21,41,12,367,303,64,2,27,380,220,160,1,-11.19,-9.13,0.01
4,October 3,L,1-3,,Kansas City Chiefs,30,42,30,461,358,103,,31,471,271,200,1,21.32,-34.67,0.70
5,October 10,W,2-3,@,Carolina Panthers,21,18,15,273,182,91,2,17,267,158,109,3,-15.13,16.27,3.99
6,October 14,L,2-4,,Tampa Bay Buccaneers,22,28,16,213,113,100,1,27,399,297,102,1,9.52,-15.69,-3.01
7,October 24,L,2-5,@,Las Vegas Raiders,22,33,22,358,223,135,2,23,442,323,119,1,4.67,-18.00,-1.38
8,October 31,W,3-5,@,Detroit Lions,44,6,27,350,114,236,,15,228,171,57,1,18.70,17.40,1.69
9,November 7,L,3-6,,Los Angeles Chargers,24,27,20,331,155,176,,28,445,356,89,,17.56,-20.72,1.49
10,November 14,W,4-6,@,Denver Broncos,30,13,22,386,170,216,1,17,308,212,96,1,8.45,6.62,-0.91
11,November 21,W,5-6,,New Orleans Saints,40,29,21,380,138,242,1,18,323,214,109,3,0.60,9.01,4.11
12,November 28,L,5-7,@,New York Giants,7,13,19,332,124,208,4,17,264,194,70,,-9.73,0.39,3.28
13,December 5,W,6-7,@,New York Jets,33,18,26,418,233,185,,21,281,211,70,1,22.38,-6.13,-1.78
15,December 21,W,7-7,,Washington Football Team,27,17,23,519,281,238,2,14,237,174,63,,13.15,0.64,-5.36
16,December 26,W,8-7,,New York Giants,34,10,17,324,194,130,,15,192,108,84,2,4.97,17.66,-0.73
17,January 2,W,9-7,@,Washington Football Team,20,16,18,330,212,118,,24,312,218,94,1,9.44,-2.61,-2.02
18,January 8,,,,Dallas Cowboys,,,,,,,,,,,,,,,
