Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,W,1-0,@,Buffalo Bills,23,16,16,252,177,75,,22,371,254,117,1,-0.54,3.55,5.01
2,September 19,L,1-1,,Las Vegas Raiders,17,26,17,331,292,39,1,22,425,373,52,,1.19,-12.75,0.99
3,September 26,L,1-2,,Cincinnati Bengals,10,24,21,342,297,45,2,12,268,172,96,1,-8.46,-0.17,-6.09
4,October 3,L,1-3,@,Green Bay Packers,17,27,17,282,220,62,2,23,367,236,131,1,-5.05,-7.14,3.23
5,October 10,W,2-3,,Denver Broncos,27,19,19,391,244,147,1,17,374,268,106,1,11.44,-5.37,1.98
6,October 17,W,3-3,,Seattle Seahawks,23,20,22,345,226,119,1,18,309,165,144,1,-1.52,3.89,1.09
8,October 31,W,4-3,@,Cleveland Browns,15,10,21,370,255,115,,19,306,210,96,1,1.77,2.67,-0.11
9,November 8,W,5-3,,Chicago Bears,29,27,20,280,175,105,1,20,414,278,136,2,8.46,-4.26,-4.79
10,November 14,T,5-3-1,,Detroit Lions,16,16,22,387,242,145,3,17,306,77,229,,-6.61,5.57,1.04
11,November 21,L,5-4-1,@,Los Angeles Chargers,37,41,22,300,245,55,,33,533,374,159,1,7.04,-20.68,7.92
12,November 28,L,5-5-1,@,Cincinnati Bengals,10,41,16,301,250,51,3,25,370,172,198,1,-15.89,-14.42,0.88
13,December 5,W,6-5-1,,Baltimore Ravens,20,19,17,321,236,85,,22,326,219,107,1,7.87,-1.95,-1.18
14,December 9,L,6-6-1,@,Minnesota Vikings,28,36,22,375,269,106,1,22,458,216,242,2,6.41,-8.68,-1.31
15,December 19,W,7-6-1,,Tennessee Titans,19,13,12,168,133,35,,22,318,117,201,4,-5.99,13.76,-0.69
16,December 26,L,7-7-1,@,Kansas City Chiefs,10,36,20,303,173,130,3,25,381,254,127,,-6.16,-16.97,2.77
17,January 3,W,8-7-1,,Cleveland Browns,26,14,20,299,109,190,1,15,232,139,93,2,0.38,12.27,4.51
18,January 9,,,@,Baltimore Ravens,,,,,,,,,,,,,,,
