Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,W,1-0,@,Detroit Lions,41,33,21,442,311,131,2,31,430,314,116,1,15.48,-5.16,-1.73
2,September 19,W,2-0,@,Philadelphia Eagles,17,11,23,306,189,117,,18,328,177,151,,7.86,-5.30,2.68
3,September 26,L,2-1,,Green Bay Packers,28,30,25,298,231,67,2,21,353,253,100,,12.19,-15.14,0.95
4,October 3,L,2-2,,Seattle Seahawks,21,28,23,457,314,143,2,14,234,129,105,,8.61,-2.20,-14.31
5,October 10,L,2-3,@,Arizona Cardinals,10,17,19,338,186,152,1,20,304,210,94,1,-6.53,-1.74,-0.47
7,October 24,L,2-4,,Indianapolis Colts,18,30,13,280,169,111,4,17,295,147,148,2,-15.30,-1.16,4.24
8,October 31,W,3-4,@,Chicago Bears,33,22,21,467,322,145,,22,324,148,176,1,21.75,-9.87,-2.14
9,November 7,L,3-5,,Arizona Cardinals,17,31,22,337,298,39,3,22,437,274,163,,2.10,-17.45,2.39
10,November 15,W,4-5,,Los Angeles Rams,31,10,20,335,179,156,,16,278,226,52,2,11.33,7.18,0.70
11,November 21,W,5-5,@,Jacksonville Jaguars,30,10,25,333,162,171,,14,200,146,54,2,17.86,1.83,0.08
12,November 28,W,6-5,,Minnesota Vikings,34,26,23,423,215,208,1,17,323,256,67,2,8.93,4.16,-6.10
13,December 5,L,6-6,@,Seattle Seahawks,23,30,17,365,294,71,3,21,327,181,146,3,-0.51,-2.27,-3.44
14,December 12,W,7-6,@,Cincinnati Bengals,26,23,21,355,255,100,,22,397,311,86,2,4.60,-11.63,10.68
15,December 19,W,8-6,,Atlanta Falcons,31,13,23,397,235,162,1,13,275,213,62,1,20.53,9.41,-11.46
16,December 23,L,8-7,@,Tennessee Titans,17,20,22,389,306,83,2,16,278,188,90,,5.48,-2.96,-2.72
17,January 2,W,9-7,,Houston Texans,23,7,19,416,241,175,1,15,222,136,86,1,5.70,7.88,0.16
18,January 9,,,@,Los Angeles Rams,,,,,,,,,,,,,,,
