,O_Rank,Team,O_Games_Played,O_Points_For,O_Total_Yards,O_Plays,O_Y/Play,O_TO,O_Fumbles_Lost,O_1st_D,O_P_Completions,O_P_Attempts,O_P_Yards,O_P_TD,O_P_Int,O_P_Y/PA,O_P_Passing_1st_D,O_R_Att,O_R_Yards,O_R_TD,O_R_Y/A,O_R_1st_D,O_Pe,O_Pe_Yards,O_Pe_1st_D,O_Scoring_Drives,O_TO_%,O_Expected_Points,Year,D_Rank,D_Games_Played,D_Points_Allowed,D_Total_Yards,D_Plays,D_Y/Play,D_TD,D_Fumbles_Lost,D_1st_D,D_P_Completions,D_P_Attempts,D_P_Yards,D_P_TD,D_P_Int,D_P_Y/PA,D_P_Passing_1st_D,D_R_Att,D_R_Yards,D_R_TD,D_R_Y/A,D_R_1st_D,D_Pe,D_Pe_Yards,D_Pe_1st_D,D_Scoring_Drives,D_TD_%,D_Expected_Points
0,1,Baltimore Ravens,14,539.4285714285714,6555.428571428571,1057.142857142857,6.2,13.714285714285714,5.7142857142857135,384.0,294.85714285714283,443.4285714285714,3321.142857142857,38.85714285714285,8.0,7.0,177.14285714285714,585.1428571428571,3234.285714285714,21.71428571428571,5.5,179.42857142857142,109.71428571428572,893.7142857142857,27.428571428571427,59.54285714285714,7.5,264.92571428571426,2019,9,16.0,293.7142857142857,5028.571428571428,934.8571428571428,5.4,25.142857142857142,11.428571428571429,284.57142857142856,330.2857142857143,555.4285714285714,3490.285714285714,14.857142857142856,13.714285714285714,5.9,169.14285714285714,340.57142857142856,1538.2857142857142,12.571428571428571,4.5,77.71428571428571,96.0,784.0,37.71428571428572,38.85714285714285,14.6,17.93142857142857
1,2,San Francisco 49ers,13,488.61538461538464,6217.846153846154,1041.2307692307693,6.0,23.384615384615387,9.846153846153848,343.3846153846154,338.46153846153845,486.1538461538462,3832.6153846153848,32.0,13.53846153846154,7.4,198.15384615384616,521.8461538461539,2385.230769230769,20.923076923076923,4.6,112.0,107.07692307692308,971.0769230769232,33.23076923076923,53.78461538461539,12.6,120.27076923076925,2019,3,16.0,281.84615384615387,4278.153846153847,942.7692307692308,4.5,30.76923076923077,17.230769230769234,263.3846153846154,296.61538461538464,484.92307692307696,2412.3076923076924,20.923076923076923,13.53846153846154,4.5,125.53846153846156,402.4615384615385,1865.846153846154,8.615384615384617,4.6,110.76923076923076,114.46153846153848,968.6153846153846,27.07692307692308,32.861538461538466,16.4,130.2276923076923
2,3,Tampa Bay Buccaneers,13,465.2307692307693,6285.538461538462,1101.5384615384617,5.7,39.38461538461539,11.076923076923077,365.5384615384616,388.92307692307696,635.0769230769231,4771.692307692308,32.0,28.30769230769231,7.0,248.61538461538464,416.0,1513.846153846154,17.230769230769234,3.6,83.6923076923077,130.46153846153848,1106.4615384615386,33.23076923076923,48.98461538461538,19.3,52.35692307692308,2019,31,16.0,468.92307692307696,5668.923076923077,1058.4615384615386,5.4,27.07692307692308,16.0,334.7692307692308,412.3076923076923,662.1538461538462,4461.538461538462,35.69230769230769,11.076923076923077,6.3,226.46153846153848,354.46153846153845,1207.3846153846157,9.846153846153848,3.4,67.6923076923077,123.07692307692308,1074.4615384615386,40.61538461538462,49.969230769230776,13.1,-28.84923076923077
3,4,Kansas City Chiefs,13,456.61538461538464,6107.076923076924,988.3076923076924,6.2,16.0,12.307692307692308,347.0769230769231,384.0,595.6923076923077,4619.076923076924,30.76923076923077,3.692307692307693,7.4,214.15384615384616,366.7692307692308,1488.0,16.0,4.1,87.38461538461539,108.30769230769232,1075.6923076923078,45.53846153846154,58.83076923076923,8.0,175.93846153846152,2019,14,16.0,345.84615384615387,5837.538461538462,1049.8461538461538,5.6,24.615384615384617,8.615384615384617,352.0,350.7692307692308,568.6153846153846,3634.4615384615386,23.384615384615387,16.0,5.9,194.46153846153848,435.6923076923077,2203.076923076924,16.0,5.1,119.3846153846154,115.6923076923077,839.3846153846155,38.15384615384615,45.16923076923077,13.7,-71.02769230769232
4,5,New Orleans Saints,13,423.3846153846154,5910.153846153847,1003.0769230769232,5.9,9.846153846153848,2.4615384615384617,334.7692307692308,419.6923076923077,590.7692307692308,4182.153846153847,32.0,7.384615384615385,6.8,221.53846153846155,386.4615384615385,1728.0,9.846153846153848,4.5,97.23076923076924,123.07692307692308,1070.7692307692307,16.0,56.61538461538462,5.1,136.44307692307692,2019,17,16.0,364.3076923076923,5412.923076923077,1009.2307692307692,5.4,23.384615384615387,9.846153846153848,322.46153846153845,381.5384615384616,606.7692307692308,3905.2307692307695,29.53846153846154,13.53846153846154,5.9,203.0769230769231,349.53846153846155,1507.6923076923078,11.076923076923077,4.3,73.84615384615385,91.07692307692308,681.8461538461539,45.53846153846154,47.50769230769231,12.9,-63.58153846153846
5,6,Seattle Seahawks,13,419.6923076923077,6142.769230769231,1053.5384615384617,5.8,22.153846153846157,16.0,344.61538461538464,344.61538461538464,515.6923076923077,3890.4615384615386,32.0,6.153846153846154,6.9,190.7692307692308,488.61538461538464,2252.3076923076924,14.76923076923077,4.6,124.30769230769232,113.23076923076924,932.923076923077,29.53846153846154,45.41538461538462,12.1,62.63384615384616,2019,21,16.0,395.0769230769231,6008.615384615385,1015.3846153846156,5.9,35.69230769230769,19.692307692307693,343.3846153846154,400.0,624.0,4338.461538461539,20.923076923076923,16.0,6.7,228.92307692307693,363.0769230769231,1670.1538461538462,18.461538461538463,4.6,84.92307692307693,99.6923076923077,835.6923076923077,29.53846153846154,43.815384615384616,17.8,-51.86461538461539
6,7,Minnesota Vikings,13,417.2307692307692,5997.538461538462,994.4615384615386,6.0,18.461538461538463,13.53846153846154,338.46153846153845,334.7692307692308,477.5384615384616,3825.2307692307695,29.53846153846154,4.923076923076923,7.6,183.3846153846154,488.61538461538464,2172.3076923076924,19.692307692307693,4.4,113.23076923076924,104.61538461538464,964.923076923077,41.84615384615385,50.95384615384616,9.3,166.32615384615383,2019,6,16.0,306.46153846153845,5415.384615384615,1036.3076923076924,5.2,24.615384615384617,8.615384615384617,321.2307692307692,386.4615384615385,596.9230769230769,3785.846153846154,27.07692307692308,16.0,5.9,214.15384615384616,392.61538461538464,1629.5384615384617,6.153846153846154,4.2,70.15384615384616,89.84615384615385,752.0,36.92307692307693,42.46153846153847,14.4,-35.753846153846155
7,8,New England Patriots,13,416.0,5670.153846153847,1116.3076923076924,5.1,14.76923076923077,4.923076923076923,342.1538461538462,395.0769230769231,651.0769230769231,4131.692307692308,24.615384615384617,9.846153846153848,6.1,210.46153846153848,434.4615384615385,1538.4615384615386,17.230769230769234,3.5,100.92307692307692,99.6923076923077,878.7692307692308,30.76923076923077,42.83076923076923,7.0,30.57230769230769,2019,1,16.0,206.7692307692308,4236.307692307692,940.3076923076924,4.5,38.15384615384615,12.307692307692308,248.61538461538464,300.3076923076923,535.3846153846154,2748.3076923076924,11.076923076923077,25.846153846153847,4.7,140.30769230769232,354.46153846153845,1488.0,7.384615384615385,4.2,66.46153846153847,112.0,1001.846153846154,41.84615384615385,20.553846153846155,17.9,209.21846153846155
8,9,Dallas Cowboys,13,411.0769230769231,6893.538461538462,1067.076923076923,6.5,19.692307692307693,6.153846153846154,388.92307692307696,400.0,611.6923076923077,4908.307692307692,29.53846153846154,13.53846153846154,7.7,241.23076923076923,433.2307692307693,1985.2307692307693,17.230769230769234,4.6,112.0,114.46153846153848,1096.6153846153848,35.69230769230769,51.32307692307693,11.5,216.0123076923077,2019,12,16.0,328.61538461538464,5219.692307692308,1005.5384615384615,5.2,17.230769230769234,11.076923076923077,329.84615384615387,353.2307692307692,541.5384615384615,3462.153846153846,20.923076923076923,6.153846153846154,5.9,178.46153846153848,422.1538461538462,1757.5384615384617,14.76923076923077,4.2,110.76923076923076,112.0,967.3846153846156,40.61538461538462,45.16923076923077,10.1,-57.760000000000005
9,10,Tennessee Titans,13,391.3846153846154,5549.538461538462,940.3076923076924,5.9,18.461538461538463,9.846153846153848,308.92307692307696,300.3076923076923,446.7692307692308,3499.076923076924,27.07692307692308,8.615384615384617,6.9,172.30769230769232,433.2307692307693,2050.4615384615386,19.692307692307693,4.7,98.46153846153848,103.3846153846154,995.6923076923076,38.15384615384615,37.53846153846154,9.3,72.08615384615385,2019,8,16.0,313.84615384615387,5784.615384615385,1060.923076923077,5.5,24.615384615384617,11.076923076923077,331.0769230769231,391.3846153846154,609.2307692307693,4158.769230769231,24.615384615384617,13.53846153846154,6.4,214.15384615384616,408.61538461538464,1625.846153846154,11.076923076923077,4.0,88.61538461538461,128.0,1099.076923076923,28.30769230769231,38.15384615384615,12.3,-5.821538461538462
